siteID,lat,lon,elev,slp,temp,sky,dpt,wx,wdr,wsp
LIPX,45.396,10.889,68.0,1036.0,6.0,0.0,5.0,MIFG,290.0,2.0
LIPZ,45.505,12.352,6.0,1036.0,7.0,0.0,7.0,FG,nan,2.0
SCVM,-32.95,-71.479,141.0,1012.0,19.0,0.0,14.0,,330.0,15.0
LIBP,42.432,14.181,11.0,1036.0,7.0,0.0,6.0,BR,230.0,2.0
LIRZ,43.096,12.513,205.0,1035.0,11.0,0.0,5.0,//,20.0,3.0
EDFH,49.949,7.264,498.0,1033.0,12.0,0.0,7.0,,200.0,11.0
EDFM,49.473,8.514,100.0,1033.0,14.0,0.0,7.0,,160.0,4.0
ENAT,69.976,23.372,3.0,1014.0,-7.0,0.25,-11.0,,130.0,5.0
ENBL,61.4,5.767,150.0,1007.0,6.0,0.25,2.0,-RA,180.0,25.0
ENEV,68.491,16.678,26.0,1013.0,-1.0,0.25,-4.0,-SN,210.0,7.0
ENFL,61.584,5.025,9.0,1005.0,7.0,0.5,3.0,RA,160.0,25.0
ENKB,63.112,7.825,62.0,1005.0,9.0,0.25,-4.0,-DZ,120.0,7.0
ENKR,69.726,29.891,91.0,1015.0,-12.0,1.0,-15.0,,210.0,15.0
ENML,62.745,7.262,3.0,1005.0,7.0,0.0,-1.0,,60.0,6.0
ENNA,70.069,24.973,8.0,1014.0,-9.0,0.5,-13.0,,180.0,17.0
LOWW,48.11,16.57,190.0,1036.0,5.0,0.0,3.0,,270.0,4.0
LOWL,48.233,14.188,313.0,1036.0,6.0,0.0,4.0,,180.0,3.0
LOWS,47.793,13.004,430.0,1036.0,4.0,0.0,1.0,,160.0,2.0
LOWI,47.26,11.344,581.0,1037.0,4.0,0.0,-0.0,,290.0,2.0
LOWG,46.991,15.44,347.0,1036.0,7.0,0.0,2.0,,230.0,2.0
LOWK,46.643,14.338,441.0,1038.0,5.0,0.0,1.0,,310.0,3.0
LGBL,39.22,22.794,26.0,1031.0,7.0,0.0,5.0,,250.0,5.0
LGHI,38.343,26.141,4.0,1027.0,9.0,0.0,5.0,,0.0,0.0
LGEL,38.064,23.556,31.0,1029.0,14.0,0.0,1.0,,290.0,5.0
LGKV,40.913,24.619,5.0,1030.0,8.0,0.0,8.0,,0.0,0.0
